,Codigo,Descripcion,Fecha Compra,Fecha Venta,Inv Bodega,Inv Matriz,Inv Serena,Inv Industrial
0,00002883,VELLUMOIDE 1/64 0.397 MM                          ,11/10/2022,06/02/2023,S,N,S,N
1,00002884,VELLUMOIDE 1/32 0.794 MM                          ,26/01/2023,06/02/2023,S,N,N,N
2,00002885,VELLUMOIDE 1/16 1.588 MM                          ,26/01/2023,03/02/2023,S,S,N,N
3,00002886,VELLUMOIDE 3/32 2.381 MM                          ,10/08/2022,07/02/2023,S,N,N,N
4,00002887,VELLUMOIDE 1/8 3.175 MM                           ,01/02/2023,06/02/2023,S,N,N,N
5,00002888,TEMASIL AZUL CON METAL 1/32 (4.15 KG PLANCHA)     ,14/08/2020,02/03/2022,,N,N,
6,00002889,TEMASIL AZUL CON METAL 1/16 8 KGS XPL             ,28/04/2022,26/01/2023,S,N,N,N
7,00002890,TEMASIL AZUL CON METAL 3/32 13.1 KGS X PL         ,28/04/2022,12/01/2023,S,N,N,N
8,00002891,TEMASIL AZUL CON METAL 1/8 15.6 KGS X PL          ,23/01/2023,23/11/2022,S,N,S,
9,00002892,TEMASIL AZUL SIN METAL 1/16 6.7 KLS X PL          ,20/04/2021,26/01/2023,S,N,N,
10,00002893,TEMASIL AZUL SIN METAL 1/32 3.5 KLS X PL          ,24/12/2021,06/12/2022,S,N,S,
11,00002894,TEMASIL AZUL SIN METAL 1/8 11.9 KLS X PL          ,09/07/2016,21/10/2022,,N,N,
12,00002895,TEMASIL AZUL SIN METAL 3/32 9.9 KLS X PL          ,09/10/2019,08/11/2019,,N,N,
13,00015010,JUEGO EMPAQUETADURA MOTOR HONDA                   ,11/03/2021,11/03/2021,,S,N,
14,00019102,EMPAQ CULATA IZQ GRAFITO HYU COUPE 2.7 02/07 TW   ,28/08/2013,31/08/2013,,,S,
15,00019103,EMPAQ CULATA DER GRAFITO HYU COUPE 2.7 02/07      ,28/08/2013,31/08/2013,,,S,
16,00019121,EMP MULT ADM TOY HILUX KUN 2KDFTV 2006/08         ,10/01/2014,13/01/2022,,N,N,
17,00019123,EMPAQ TAPA VALV NIS TERRANO D22 NAVARA            ,02/07/2014,11/12/2021,,N,,
18,00019132,EMPAQ MULT ADM NIS TERRANO D22 YD25               ,30/08/2013,22/08/2017,,N,,
19,00024716,ASBESTO TRENS CORDON ENGRASADO 1/2                                                                  ,,05/04/2019,,N,N,
20,00024717,ASBESTO TRENS CORDON ENGRASADO 1/4                                                                  ,,30/12/2014,,N,,
21,00024718,ASBESTO TRENS CORDON ENGRASADO 3/8 12MT                                                             ,,03/01/2019,,N,N,
22,00024719,CORDON GRAFIT 1/4 (12XKG) ASBESTO                 ,26/11/2020,27/11/2020,,N,N,
23,00024720,ASBESTO CORDON GRAFIT 5/16 (9XKG)                 ,01/03/2018,25/08/2017,,N,N,
24,00024721,ASBESTO CORDON GRAFIT 3/8 POR KG (6XKG)           ,05/12/2022,07/01/2023,S,N,N,
25,00024722,ASBESTO CORDON GRAFIT 1/2 (3.5XKG)                ,05/12/2022,24/01/2023,S,N,N,
26,00024723,ASBESTO CORDON GRAFIT 5/8 MT (2.5XKG)             ,01/10/2013,25/06/2016,,N,,
27,00024724,ASBESTO CORDON GRAFIT 3/4 MT (1.5XKG)             ,23/06/2012,25/11/2015,,N,,
28,00024725,ASBESTO CORDON GRAFIT 7/8 MT (1.3XKG)             ,,04/03/2016,,N,,
29,00024975,CORCHOPREN 3/16 4.76MM PLANCHA                    ,15/06/2017,24/11/2020,,N,N,
30,00024976,"CORCHOPREN 1/4"" 6.35MM PLANCHA 1000X500MM         ",24/09/2018,09/02/2021,,N,,
31,00024977,CORCHOPREN 1/32 0.7MM PLANCHA                     ,27/02/2015,04/03/2021,,N,,
32,00024978,CORCHOPREN 1/16 1.5MM PLANCHA 1000X500MM          ,24/09/2018,18/03/2021,,N,N,N
33,00024979,CORCHOPREN 5/64 2MM PLANCHA 1000X500MM            ,,13/01/2020,,N,,
34,00024980,CORCHOPREN 3/32 2.5MM PLANCHA                     ,18/07/2019,07/01/2022,,N,N,N
35,00024981,CORCHOPREN 1/8 3MM PLANCHA 100X500MM              ,13/05/2020,13/10/2020,,N,N,
36,00024982,CORCHOPREN 5/32 4MM PLANCHA                       ,13/05/2020,03/01/2022,,N,,
37,00028178,KIT EMPAQ CULATA/TAPA VALV/ADM/RETEN VAL TOY LANCR                                                  ,,11/11/2015,,N,,
38,00028897,EMPAQ CARTER DAIH CHARADE /ASIA TOWNER            ,14/09/2016,21/10/2022,,N,,
39,00028898,EMPAQ CARTER FIAT 125                             ,27/03/2014,04/04/2014,,N,N,
40,00028900,EMPAQ CARTER FIAT FIORI 1.5 93/96                 ,26/10/2012,22/01/2020,,N,N,
41,00028901,EMPAQ CARTER FIAT PALIO 1.3                                                                         ,,,,,,
42,00028902,EMPAQ CARTER KIA BESTA 2.5 KOREA                                                                    ,,,,,,
43,00028904,EMPAQ CARTER KIA K 2.400                          ,27/09/2018,15/06/2020,,N,,
44,00028907,EMPAQ CARTER MAZDA B2200 JP                                                                         ,,,,,,
45,00028908,EMPAQ CARTER NISSAN CD17 GOMA TW                  ,13/12/2011,26/09/2022,,N,,
46,00028910,EMPAQ CARTER NISSAN J13/15/16/18 CP2-401 TW       ,09/01/2014,28/12/2022,,N,,
47,00028914,EMPAQ CARTER SUZUKI ST90/LJ80/SJ410/SK410 78-85 CP2-2902 TW                                         ,05/01/2017,07/04/2014,,N,,
48,00028916,EMPAQ CARTER HONDA CIVIC B16A 92/93               ,23/08/2013,,,,N,
49,00028919,EMPAQ CARTER TOY DYNA TW                                                                            ,,,,,,
50,00028920,EMPAQ CULATA CHEV CHEVETTE BRASIL                                                                   ,,19/11/2021,,N,,
51,00028921,EMPAQ CULATA CHEV CHEVETTE BRASIL                                                                   ,,01/03/2016,,N,,
52,00028923,EMP CULATA CHEV LUV 2.2 98-00/ S10 2.2 DAE ESP 2.0,18/01/2023,22/03/2021,,N,N,
53,00028926,EMPAQ CULATA DAEWOO RACER/LANOS 1.3-1.5           ,07/08/2018,24/09/2018,,N,,
54,00028931,EMP CULATA PEUG 504/505 2.0                       ,09/04/2015,29/01/2018,,N,N,
55,00028932,EMPAQ CULATA DAIH CUORE/MAX.CUORE 550 / S60       ,29/10/2020,29/10/2020,,N,S,
56,00028934,EMPAQ CULATA FIAT 125 1.7 MM                                                                        ,21/03/2018,05/02/2019,,N,N,
57,00028935,EMPAQ CULATA FIAT 125 CCAM-908 1.2MMESPESOR                                                         ,27/05/2011,18/06/2015,,N,,
58,00028936,EMPAQ CULATA FIAT 132 ITALIA                                                                        ,27/05/2011,26/12/2013,,N,,
59,00028937,EMPAQ CULATA FIAT 147 1050/1300/UNO ARGENTINA     ,23/08/2018,11/10/2018,,N,N,
60,00028938,EMPAQ CULATA FIAT 600 0.3MM ITALIA                                                                  ,12/11/2018,22/03/2014,,N,,
61,00028939,EMPAQ CULATA FIAT 600 0.6MM ITALIA                                                                  ,27/05/2011,22/07/2015,,N,,
62,00028940,EMPAQ CULATA FIAT 600-ZAST 750CC TARANTO ITALIA                                                     ,03/08/2016,07/08/2017,,N,,
63,00028943,EMPAQ CULATA FIAT FIORI 1.5 CATAL                                                                   ,,05/06/2014,,N,,
64,00028945,EMPAQ CULATA FIAT FIORI 1.7 1.80 MM DIESEL        ,02/12/2011,06/07/2016,,N,,
65,00028946,EMPAQ CULATA FIAT FIORI 1.7 2.10 MM DIESEL BRASI                                                    ,27/05/2011,01/08/2015,,N,,
66,00028947,EMPAQ CULATA FIAT FIORI 1300 89/92-UNO/PALIO/SIENA,08/09/2015,08/09/2015,,N,N,
67,00028948,EMPAQ CULATA FIAT PALIO 1.3                       ,10/10/2012,07/10/2011,,N,,
68,00028949,EMPAQ CULATA FIAT STRADA 1.9 DIESEL TD                                                              ,27/05/2011,20/04/2016,,N,,
69,00028950,EMPAQ CULATA FIAT TIPO/RITMO/UNO 1.4                                                                ,17/06/2015,18/06/2015,,N,,
70,00028951,EMPAQ CULATA HYUN ACCENT DIESEL 3 CIL             ,01/07/2011,31/03/2021,,N,S,
71,00028953,EMPAQ CULATA HYUN ACCENT PRIME 1.5L TW            ,05/03/2018,02/09/2021,,N,S,
72,00028954,EMPAQ CULATA HY ELANTRA 1.6 G4CR 92/95            ,04/05/2012,26/01/2018,,N,,
73,00028956,EMPAQ CULATA HY EXCEL 1.5 88- LANCER 1.5 87/      ,25/04/2014,29/10/2018,,N,,
74,00028957,EMPAQ CULATA HYUN EXCEL 1.3 KOREA                                                                   ,13/01/2014,02/08/2014,,N,,
75,00028958,EMPAQ CULATA HYUN EXCEL 1.5 87-94 KOREA                                                             ,,,,,,
76,00028960,EMPAQ CULATA HY H1 2400 SONATA 2.4 H100 2.4       ,07/07/2021,23/12/2022,,N,S,
77,00028961,EMPAQ CULATA HY H100D 2.5 C/TURBO                 ,10/06/2015,08/07/2020,,N,S,
78,00028962,EMPAQ CULATA HY H100D 2.5/ L200 S/T               ,20/11/2018,13/08/2022,,N,N,
79,00028963,EMPAQ CULATA HY MIGHTY 3.3 4D31/3.5 D4AF 99/      ,01/07/2011,19/03/2014,,N,N,
80,00028964,EMPAQ CULATA HYUNDAI                              ,11/04/2017,07/06/2021,,N,S,
81,00028965,EMPAQ CULATA HYUN SONATA 1.8 G4CM 88/96           ,03/08/2016,03/08/2016,,N,N,
82,00028966,EMPAQ CULATA HYUN SONATA 2.4 JP                                                                     ,,,,,,
83,00028971,EMPAQ CULATA ISUZU NKR/4JB1 JP 3.9CC                                                                ,,03/06/2014,,N,,
84,00028973,EMPAQ CULATA KIA 3500                             ,22/12/2011,08/04/2014,,,N,
85,00028974,EMP CULATA KIA AVEL II 1.5 B5 98/01 C/INYEC SEPHIA,04/12/2020,13/05/2021,,N,N,
86,00028975,EMPAQ CULATA KIA BESTA 2.2                        ,05/08/2022,09/08/2022,,N,S,
87,00028980,EMP CULATA KIA RIO I-II 1.5 A5D DOHC 98/ METALICA ,,04/09/2020,,N,S,
88,00028982,EMPAQ CULATA LADA NIVA                                                                              ,27/05/2011,17/10/2017,,N,,
89,00028983,EMPAQ CULATA LADA SAMARA 1.5                                                                        ,22/03/2012,30/12/2013,,N,,
90,00028985,EMPAQ CULATA LUV 1600CC 77-88 CSAM304E TW         ,30/05/2012,24/12/2019,,N,,
91,00028986,EMPAQ CULATA LUV 2000CC 81-00 G200/ TROOPER 2.0 G ,07/02/2015,27/01/2023,,N,S,
92,00028987,EMPAQ CULATA LUV 2000CC 84-87 CSAM-308E/8-942                                                       ,30/05/2012,11/04/2016,,N,,
93,00028989,EMPAQ CULATA LUV 2300CC 89- CSAM-313E/8-94324-053-0/8 TW                                            ,19/12/2013,09/04/2015,,N,N,
94,00028990,EMPAQ CULATA MAZDA 323 PN 1.7                     ,16/01/2015,15/01/2015,,N,,
95,00028991,EMPAQ CULATA MAZDA CTAS NA 77/80                  ,28/09/2021,22/06/2018,,N,,
96,00028995,EMPAQ CULATA MAZDA B2000/626 1.8 F8/626 2.0 FE JP ,22/08/2018,22/12/2018,S,N,,
97,00028996,EMPAQ CULATA MAZ B2200/626-929 FE/F2              ,17/01/2023,16/08/2017,,N,N,
98,00028997,EMPAQ CULATA MAZDA B2500 DIESEL 97/05 JP          ,20/05/2014,26/05/2014,,N,,
99,00028999,EMPAQ CULATA MAZDA E2200 JP 98/00                                                                   ,,05/05/2012,,N,,
100,00029000,EMPAQ CULATA MIT SONATA 2.0 88/98 GALANT 2.0 80/92,07/09/2018,17/10/2019,,N,N,
101,00029001,EMPAQ CULATA MIT L200 2.0 85/93 TW                ,,07/04/2014,,N,,
102,00029004,EMP CULATA MIT L200/L300 /H100 2.4 BENC           ,26/05/2014,07/08/2019,,N,,
103,00029005,EMPAQ CULATA MIT L300 1400CC 8111MD004430 TW                                                        ,,,,,,
104,00029006,EMPAQ CULATA MIT L300 1.6 82/ GALANT 1.6          ,04/08/2015,08/09/2022,,N,N,
105,00029007,EMPAQ CULATA MIT LANCER 1.3/PROTON KOREA                                                            ,01/06/2017,15/06/2017,,N,N,
106,00029008,EMPAQ CULATA MIT LANCER G15B KR                   ,06/02/2020,06/02/2020,,N,S,
107,00029010,EMPAQ CULATA NISSAN B.BIRD 2.0 CA20S 83/00                                                          ,,02/06/2016,,N,N,
108,00029011,EMPAQ CULATA NISSAN 720 J15-16 JP                 ,14/03/2017,13/10/2017,,N,N,
109,00029015,EMPAQ CULATA NISSAN CD20 90/2000 TW               ,09/04/2019,17/08/2021,,N,,
110,00029016,EMPAQ CULATA NISSAN D21 Z20 JP                    ,09/05/2019,16/12/2021,,N,S,
111,00029018,EMPAQ CULATA NISSAN D21/LD28 TW                                                                     ,,08/04/2015,,N,,
112,00029021,EMPAQ CULATA NISSAN J15 1.5/1.6CC C5AM-432/1104                                                     ,,,,,,
113,00029023,EMPAQ CULATA NISSAN LD20 C/CADENA JP                                                                ,02/07/2015,03/07/2015,,N,N,
114,00029024,EMPAQ CULATA NISSAN LD20 JP                                                                         ,,,,,,
115,00029026,EMPAQ CULATA NISSAN RD28 89/96 TW                 ,18/12/2012,14/11/2014,,N,,
116,00029027,EMPAQ CULATA NISSAN SD22 20/22 MTDT11044Y1400 TW  ,17/12/2013,17/07/2015,,N,N,
117,00029028,EMPAQ CULATA NISSAN D21 KA24 JP                   ,25/02/2021,26/02/2021,,N,N,
118,00029030,EMPAQ CULATA NISSAN SUNNY E13/SENTRA E16 TW       ,26/06/2014,28/05/2016,,N,,
119,00029032,EMPAQ CULATA NISS TERRANO 2.5 01/02 TD25          ,25/10/2013,22/03/2016,,N,,
120,00029033,EMP CULATA NIS D22 KA24E TERRANO II 12V 93/04 MEX ,13/05/2020,28/12/2020,,N,S,
121,00029042,EMPAQ CULATA SUZUKI FORZA 1000 JP                                                                   ,,,,,,
122,00029044,EMPAQ CULATA SUZUKI FRONTE 550CC TW                                                                 ,26/07/2012,21/04/2021,,N,,
123,00029047,EMPAQ CULATA SUZUKI SJ413 JP                      ,30/11/2011,09/09/2013,,N,N,
124,00029048,EMPAQ CULATA SUZUKI SJ413/SWIFT TW                ,07/01/2019,20/01/2021,,N,N,
125,00029056,EMPAQ CULATA TOY 2L METALICA                                                                        ,,06/08/2018,,N,,
126,00029057,EMPAQ CULATA TOY 2T/3T C5AM-4100A JP                                                                ,,01/09/2015,,N,,
127,00029058,EMPAQ CULATA TOY 2T/3T/CELICA TW                                                                    ,,28/12/2019,,N,,
128,00029060,EMPAQ CULATA TOY 2Y/3Y AM9090 TW                                                                    ,,23/11/2022,,N,N,
129,00029063,EMPAQ CULATA TOY 5R JP                                                                              ,,,,,,
130,00029064,EMPAQ CULATA TOY AU/CT 12R 75-80 AM9070 AM-9070                                                     ,,16/04/2012,,N,,
131,00029065,EMPAQ CULATA TOY COROLLA 2.0 2C DIESEL 85/        ,26/01/2015,20/06/2015,,N,,
132,00029069,EMPAQ CULATA TOY HILUX 1Y/2Y/3Y HILUX 84/92 JP    ,01/07/2011,17/04/2020,,N,S,
133,00029070,EMPAQ CULATA TOY HILUX 2.5 2KDFTV KUN 2.5         ,31/01/2018,06/08/2022,,N,S,
134,00029071,EMPAQ CULATA TOY HILUX 2.7 2TRFE TW                                                                 ,,,,,,
135,00029073,EMPAQ CULATA TOY HILUX 22R JP 93/97               ,24/01/2012,23/07/2022,,N,S,
136,00029074,EMPAQ CULATA TOY HILUX 2RZFE/3RZ 98/2004          ,01/07/2011,06/09/2018,,,N,
137,00029075,EMPAQ CULATA TOY TERCEL 5E 95/96 C/DISTRIBUIDOR   ,26/09/2013,11/01/2016,,N,N,
138,00029077,EMPAQ CULATIN FIAT 125/132 ARGENTA                                                                  ,24/05/2013,18/04/2018,,N,N,
139,00029096,EMP CULATA PEUG 404 1.6 / 504 1.8                 ,,11/08/2021,,N,,
140,00029197,EMPAQ MULT ADM CHEV MONZA TW                                                                        ,,,,,,
141,00029201,EMPAQ MULT ADM DAIH APLAUSSE TW                                                                     ,,23/04/2016,,N,N,
142,00029202,EMPAQ MULT ADM DAIH G20 850/1000 V3-2                                                               ,22/04/2016,17/01/2022,,N,,
143,00029203,EMPAQ MULT ADM MIT LANCER 1.5 92/96               ,10/12/2020,10/12/2020,,N,N,
144,00029204,EMPAQ MULT ADM DAIHATSU 1.3                                                                         ,,,,,,
145,00029207,EMPAQ MULT ADM ESC LADA 2104/05/06/07             ,02/12/2011,26/06/2018,,N,,
146,00029208,EMPAQ MULT ADM ESC NISSAN 140Y                                                                      ,,29/07/2013,,N,,
147,00029209,EMPAQ MULT ADM ESC NISSAN 150Y                    ,25/09/2018,21/09/2018,,N,N,
148,00029211,EMPAQ MULT ADM FIAT 1.1 PTO/SM                                                                      ,15/09/2015,07/09/2016,,N,,
149,00029212,EMPAQ MULT ADM FIAT 125                           ,13/07/2011,06/03/2018,,N,N,
150,00029215,EMPAQ MULT ADM HYUN ACCENT PRIME                  ,02/03/2019,19/05/2020,,N,,
151,00029216,EMPAQ MULT ADM HYUN ELANTRA 1.6/1.8 96/99         ,13/01/2014,17/01/2015,,N,N,
152,00029217,EMPAQ MULT ADM HONDA CIVIC 1.6 89/95              ,,20/02/2016,,N,N,
153,00029218,EMPAQ MULT ADM HYUNDAY EXCEL 1.3 CON INYEC        ,23/11/2011,02/03/2020,,N,,
154,00029220,EMPAQ MULT ADM KIA 3.5 K2-9074                                                                      ,,18/11/2020,,N,,
155,00029222,EMPAQ MULT ADM KIA FRONTIER 3.0CC                                                                   ,,12/12/2015,,N,,
156,00029225,EMPAQ MULT ADM NISSAN /92 14035W1500                                                                ,,24/07/2017,,N,,
157,00029226,EMPAQ MULT ADM NISSAN 93/                                                                           ,,,,,,
158,00029227,EMPAQ MULT ADM NISSAN BLUE BIRD                                                                     ,,,,,,
159,00029228,EMPAQ MULT ADM NISSAN E15-E13 SUNNY               ,11/06/2015,01/06/2019,,N,N,
160,00029229,EMPAQ MULT ADM NISSAN E16 SUNNY/SENTR                                                               ,,28/05/2016,,N,,
161,00029230,EMPAQ MULT ADM/ESC NISSAN J15/16/18               ,01/08/2014,08/10/2022,,N,N,
162,00029231,EMPAQ MULT ADM NISSAN TERRANO II 93/99            ,08/07/2013,12/10/2016,,N,,
163,00029232,EMPAQ MULT ADM NISSAN V16 GA14DS                  ,,03/01/2018,,N,,
164,00029233,EMPAQ MULT ADM-ESC 16V TERIOS FEROZA CHARADE      ,05/12/2013,22/07/2020,,N,,
165,00029234,EMPAQ MULT ADM OPEL ASTRA 1.6                                                                       ,,05/04/2012,,N,,
166,00029235,EMPAQ MULT ADM OPEL ASTRA MONOPUNTO                                                                 ,,,,,,
167,00029237,EMPAQ MULT ADM OPEL CORSA 1.6 16V 1995                                                              ,10/11/2016,03/04/2017,,N,N,
168,00029238,EMPAQ MULT ADM OPEL CORSA DIESEL                                                                    ,,29/10/2014,,N,,
169,00029239,EMPAQ MULT ADM SUZUKI BALENO/VITARA               ,28/11/2019,29/11/2019,,N,N,
170,00029241,EMPAQ MULT ADM SUZ FRONTE 800 81400102            ,21/03/2018,27/06/2019,,N,N,
171,00029246,EMPAQ MULT ADM TOY TERCEL 2E/3E                   ,14/06/2013,10/02/2020,,N,N,
172,00029299,EMPAQ TAPA VALV MEDIA LUNA NIS BLUEBIRD 1.8 80/83 ,18/10/2013,06/03/2019,,N,N,
173,00029301,EMPAQ TAPA VALV DAIH CHARADE/ASIA TOWNER          ,14/09/2016,17/10/2020,,N,,
174,00029305,EMPAQ TAPA VALV FIAT 125                          ,06/07/2012,05/07/2018,,N,N,
175,00029306,EMPAQ TAPA VALV FIAT 128-RITMO 1100-1300                                                            ,,,,,,
176,00029308,EMPAQ TAPA VALV FIAT STRADA /FIOR 1.7             ,01/07/2011,23/09/2017,,N,N,
177,00029309,EMPAQ TAPA VALV FIAT PTO 1.4/1.6 GT 1.4                                                             ,,21/07/2016,,N,,
178,00029311,EMPAQ TAPA VALV HY H100D/H1/GALLOPER/L200         ,02/08/2013,22/02/2019,,N,N,
179,00029315,EMPAQ TAPA VALV KIA K 2.4 CERES 2.2CC             ,10/09/2013,19/12/2017,,N,N,
180,00029316,EMPAQ TAPA VALV LADA GOMA 1.2/1.5/1.6                                                               ,,,,,,
181,00029317,EMPAQ TAPA VALV LADA SAMARA 1.3/1.5                                                                 ,,,,,,
182,00029320,EMPAQ TAPA VALV MIT LANCER HYUN EXCEL             ,27/01/2021,09/10/2021,,N,N,
